Month,Asian Civilisations Museum,National Museum Of Singapore,Singapore Art Museum,Singapore Philatelic Museum,Peranakan Museum,Science Centre Singapore,Jurong Birdpark,Night Safari,River Wonders,Singapore Zoological Gardens,Chinese/Japanese Gardens,Sun Yat Sen Nanyang Memorial Hall,Indian Heritage Centre,Malay Heritage Centre
1990-12,na,28.1,na,na,na,35.7,na,na,na,153.8,20.4,na,na,na
1991-01,na,19.1,na,na,na,20.2,na,na,na,62.6,13.3,na,na,na
1991-02,na,18.4,na,na,na,28.8,na,na,na,93.3,33.3,na,na,na
1991-03,na,27.4,na,na,na,61.5,na,na,na,95.5,14.9,na,na,na
1991-04,na,21.7,na,na,na,37.1,na,na,na,81.5,14.8,na,na,na
1991-05,na,16.3,na,na,na,68.4,na,na,na,95.1,12.9,na,na,na
1991-06,na,20.5,na,na,na,44.8,na,na,na,116,16.4,na,na,na
1991-07,na,17.1,na,na,na,37.8,na,na,na,73.8,31.5,na,na,na
1991-08,na,20.8,na,na,na,32.5,na,na,na,99.6,19.5,na,na,na
1991-09,na,19.2,na,na,na,41,na,na,na,110.7,164.8,na,na,na
1991-10,na,20,na,na,na,41.2,na,na,na,69.8,15.1,na,na,na
1991-11,na,34.2,na,na,na,90.1,na,na,na,148.6,34.3,na,na,na
1991-12,na,21,na,na,na,39.7,na,na,na,118,24.7,na,na,na
1992-01,na,15.5,na,na,na,20.6,na,na,na,69.5,10.7,na,na,na
1992-02,na,23.9,na,na,na,31.8,na,na,na,122.6,24.8,na,na,na
1992-03,na,24.8,na,na,na,40.4,na,na,na,98,17.1,na,na,na
1992-04,na,21.9,na,na,na,37.1,na,na,na,98.9,18.9,na,na,na
1992-05,na,29.8,na,na,na,62.4,na,na,na,113.1,17.6,na,na,na
1992-06,na,19.5,na,na,na,51.4,na,na,na,144.6,26,na,na,na
1992-07,na,17.6,na,na,na,40,na,na,na,112.3,19,na,na,na
1992-08,na,21.6,na,na,na,44.2,na,na,na,130.2,21,na,na,na
1992-09,na,19.3,na,na,na,34.2,na,na,na,112.1,117.3,na,na,na
1992-10,na,12.3,na,na,na,35.6,na,na,na,109.6,18.5,na,na,na
1992-11,na,21.7,na,na,na,76.4,na,na,na,140.6,32.1,na,na,na
1992-12,na,9.9,na,na,na,40.9,na,na,na,103.8,27.9,na,na,na
1993-01,na,15.2,na,na,na,25.3,na,na,na,124.2,31.6,na,na,na
1993-02,na,18.9,na,na,na,28.3,na,na,na,71.3,13.4,na,na,na
1993-03,na,26.7,na,na,na,50.5,na,na,na,109.9,16.6,na,na,na
1993-04,na,21.4,na,na,na,38.7,na,na,na,102,11.8,na,na,na
1993-05,na,22.1,na,na,na,64.4,na,na,na,135.4,11.2,na,na,na
1993-06,na,27.7,na,na,na,55.8,na,na,na,181.3,23,na,na,na
1993-07,na,27.1,na,na,na,41.9,na,na,na,112.2,13,na,na,na
1993-08,na,16.3,na,na,na,37.6,na,na,na,146.1,17.2,na,na,na
1993-09,na,14,na,na,na,33.9,na,na,na,116,82.6,na,na,na
1993-10,na,17.8,na,na,na,31.6,na,na,na,103.6,33.5,na,na,na
1993-11,na,23,na,na,na,87.9,na,na,na,157.5,17.2,na,na,na
1993-12,na,13,na,na,na,38,na,na,na,127,15.6,na,na,na
1994-01,na,11.6,na,na,na,16.4,na,na,na,83.8,12.2,na,na,na
1994-02,na,18.3,na,na,na,22.4,na,na,na,108.2,18.2,na,na,na
1994-03,na,26.4,na,na,na,49.4,na,na,na,124.6,15.6,na,na,na
1994-04,na,20.6,na,na,na,31,na,na,na,117.6,11,na,na,na
1994-05,na,16.2,na,na,na,48.5,na,na,na,159.5,12,na,na,na
1994-06,na,14.2,na,na,na,39.9,na,na,na,130.5,14.9,na,na,na
1994-07,na,25.6,na,na,na,40.9,na,na,na,113.2,12.2,na,na,na
1994-08,na,24.9,na,na,na,50.6,na,na,na,123.2,15,na,na,na
1994-09,na,27.2,na,na,na,36.8,na,na,na,103.1,137.8,na,na,na
1994-10,na,29.4,na,na,na,32.5,na,na,na,86.6,10.7,na,na,na
1994-11,na,39.4,na,na,na,102.7,na,na,na,138.9,13.7,na,na,na
1994-12,na,19.3,na,na,na,58.4,na,na,na,144.4,12.8,na,na,na
1995-01,na,12.7,na,na,na,32.1,na,na,na,92.7,8.8,na,na,na
1995-02,na,10.9,na,na,na,50.7,na,na,na,86.2,10.2,na,na,na
1995-03,na,14.4,na,na,na,31.5,na,na,na,128.2,12.4,na,na,na
1995-04,na,14,na,na,na,27.9,na,na,na,97.8,9.2,na,na,na
1995-05,na,14.9,na,na,na,48.9,na,na,na,148.4,9.9,na,na,na
1995-06,na,18.9,na,na,na,36,na,na,na,132.3,9.3,na,na,na
1995-07,na,20.1,na,na,na,30.1,na,na,na,117.8,19.3,na,na,na
1995-08,na,29,na,na,na,37.4,na,na,na,137.4,11,na,na,na
1995-09,na,23.7,na,na,na,28.8,na,na,na,127.1,115.4,na,na,na
1995-10,na,32.8,na,na,na,39.4,na,na,na,106,8.7,na,na,na
1995-11,na,55.5,na,na,na,122.5,na,na,na,136.1,9.8,na,na,na
1995-12,na,46.1,na,na,na,57.6,na,na,na,128.5,19,na,na,na
1996-01,na,24.1,5.4,na,na,36,na,na,na,76,12.3,na,na,na
1996-02,na,30.2,7.4,na,na,31.3,na,na,na,121.8,15.8,na,na,na
1996-03,na,22,9,na,na,36.9,na,na,na,113.3,9,na,na,na
1996-04,na,15.4,6,na,na,23.9,na,na,na,109.1,8.3,na,na,na
1996-05,na,21.2,8.1,na,na,51.8,na,na,na,145.7,25.8,na,na,na
1996-06,na,18,7.6,na,na,34.6,na,na,na,161.4,29.4,na,na,na
1996-07,na,12.7,8.4,na,na,33.5,na,na,na,116.1,7.8,na,na,na
1996-08,na,17.5,10,na,na,42.4,na,na,na,118.3,7.6,na,na,na
1996-09,na,13.9,4.9,na,na,25.6,na,na,na,104.7,104.9,na,na,na
1996-10,na,22.7,11.8,na,na,36.3,na,na,na,92,6.6,na,na,na
1996-11,na,36,12,na,na,41.3,na,na,na,185.2,8.8,na,na,na
1996-12,na,18.1,14.2,na,na,34.3,na,na,na,165.4,15.3,na,na,na
1997-01,na,17.1,17.5,na,na,15.3,na,na,na,84.1,8.3,na,na,na
1997-02,na,18.2,12.8,na,na,24.1,na,na,na,130.4,32.7,na,na,na
1997-03,na,25.4,7.9,na,na,159.6,na,na,na,140.6,11.1,na,na,na
1997-04,3.6,23.4,7.5,na,na,39.8,na,na,na,98.6,8.4,na,na,na
1997-05,9.2,22.3,11.7,na,na,63,na,na,na,142.5,9.9,na,na,na
1997-06,9.1,23.8,9.6,na,na,43.1,na,na,na,150.2,8.5,na,na,na
1997-07,3.1,20.9,14.7,na,na,31.1,na,na,na,121.9,9.6,na,na,na
1997-08,6.7,32.1,17.9,na,na,30.6,na,na,na,120,10.1,na,na,na
1997-09,4.1,17.6,7,na,na,40.2,na,na,na,86.5,123.8,na,na,na
1997-10,4.5,20.4,19.7,na,na,40.4,na,na,na,78.6,7.7,na,na,na
1997-11,5.4,27.7,17.9,na,na,117.7,na,na,na,125.6,8.8,na,na,na
1997-12,2.1,13.7,15.4,na,na,32.6,na,na,na,131.6,8.7,na,na,na
1998-01,4.2,14.5,26.4,na,na,22.3,na,na,na,95.5,14.2,na,na,na
1998-02,4,16.5,9.7,na,na,34.8,na,na,na,79.1,8.8,na,na,na
1998-03,5.6,20,6.7,na,na,40.8,na,na,na,106.3,7.8,na,na,na
1998-04,10,21.8,7.6,na,na,43.6,na,na,na,103.6,7.3,na,na,na
1998-05,19.3,31.5,16.6,na,na,65.3,na,na,na,127.7,7.7,na,na,na
1998-06,4.2,18.5,12.5,na,na,46.9,na,na,na,145.9,6.4,na,na,na
